segment_id,token,proposed_lemma
dbg_book02_ch019,incursus,incursus
dbg_book02_ch019,scientia,scientia
dbg_book02_ch019,usus,usus
dbg_book02_ch019,caesaris,caesaris
dbg_book02_ch019,imperium,imperium
dbg_book02_ch020,signum,signum
dbg_book02_ch020,item,item
dbg_book02_ch020,causa,causa
dbg_book02_ch020,profectus,profectus
dbg_book02_ch020,exiguitas,exiguitas
dbg_book02_ch020,animus,animus
dbg_book02_ch020,tempus,tempus
dbg_book02_ch020,tempus,tempus
dbg_book02_ch021,natura,natura
dbg_book02_ch021,necessitas,necessitas
dbg_book02_ch021,militaris,militaris
dbg_book02_ch021,prospectus,prospectus
dbg_book02_ch021,opus,opus
dbg_book02_ch021,euentus,euentus
dbg_book02_ch022,pilis,pilis
dbg_book02_ch022,rursus,rursus
dbg_book02_ch022,item,item
dbg_book02_ch022,xi,xi
dbg_book02_ch022,ripis,ripis
dbg_book02_ch022,totis,totis
dbg_book02_ch022,xii,xii
dbg_book02_ch022,uii,uii
dbg_book02_ch022,qui,qui
dbg_book02_ch023,qui,qui
dbg_book02_ch023,rursus,rursus
dbg_book02_ch023,qui,qui
dbg_book02_ch023,porta,porta
dbg_book02_ch023,causa,causa
dbg_book02_ch023,qui,qui
dbg_book02_ch023,singularis,singularis
dbg_book02_ch023,qui,qui
dbg_book02_ch023,causa,causa
dbg_book02_ch024,xii,xii
dbg_book02_ch024,cohortium,cohortium
dbg_book02_ch024,tela,tela
dbg_book02_ch024,subsidium,subsidium
dbg_book02_ch024,impetus,impetus
dbg_book02_ch025,uii,uii
dbg_book02_ch025,iuxta,iuxta
dbg_book02_ch025,item,item
dbg_book02_ch025,subsidium,subsidium
dbg_book02_ch025,audacius,audacius
dbg_book02_ch025,labienus,labienus
dbg_book02_ch025,qui,qui
dbg_book02_ch025,fuga,fuga
dbg_book02_ch026,qui,qui
dbg_book02_ch026,proelium,proelium
dbg_book02_ch026,qui,qui
dbg_book02_ch026,tela,tela
dbg_book02_ch026,nequiquam,nequiquam
dbg_book02_ch026,difficillimis,difficillimis
dbg_book02_ch027,mulieribusque,mulieribusque
dbg_book02_ch027,pugna,pugna
dbg_book02_ch027,qui,qui
dbg_book02_ch027,tres,tres
dbg_book02_ch027,qui,qui
dbg_book02_ch027,arma,arma
dbg_book02_ch027,usus,usus
dbg_book02_ch027,misericordia,misericordia
dbg_book02_ch028,pugna,pugna
dbg_book02_ch028,natura,natura
dbg_book02_ch028,rupes,rupes
dbg_book02_ch028,aditus,aditus
dbg_book02_ch028,saxa,saxa
dbg_book02_ch028,qui,qui
dbg_book02_ch028,obitum,obitum
dbg_book02_ch029,xii,xii
dbg_book02_ch029,breuitas,breuitas
dbg_book02_ch030,qui,qui
dbg_book02_ch030,qui,qui
dbg_book02_ch030,clementia,clementia
dbg_book02_ch030,cruciatum,cruciatum
dbg_book02_ch031,prius,prius
dbg_book02_ch031,aries,aries
dbg_book02_ch031,iacta,iacta
dbg_book02_ch032,portas,portas
dbg_book02_ch032,exiguitas,exiguitas
dbg_book02_ch032,uigilia,uigilia
dbg_book02_ch032,arduus,arduus
dbg_book02_ch032,qui,qui
dbg_book02_ch032,tela,tela
dbg_book02_ch032,omnis,omnis
