corpus,feature_set,feat_label,distance,dbc_r,dbc_p,dbc_ci_low,dbc_ci_high,mantel_r,mantel_p,mantel_ci_low,mantel_ci_high
DBC Pseudo-Books,char4gram,Char 4-grams,Cosine,-0.9285714285714288,0.003373015873015873,-1.0,-0.411764705882353,0.398989394654905,0.055357142857142855,-0.058111180840622396,0.8121232859710049
Caesar DBG,function_words,function_words,Delta,-0.21428571428571433,0.33075396825396824,0,0,0.08751733083368321,0.35833333333333334,0,0
Caesar DBG,function_words,function_words,Cosine,-0.642857142857143,0.06944444444444445,0,0,0.4497297333010602,0.03869047619047619,0,0
Caesar DBG,function_words_lemmas,function_words_lemmas,Delta,-0.8571428571428573,0.011904761904761904,0,0,0.21713967416313806,0.21071428571428572,0,0
Caesar DBG,function_words_lemmas,function_words_lemmas,Cosine,-0.5357142857142858,0.11785714285714285,0,0,0.4968034115176614,0.018452380952380953,0,0
Caesar DBG,mfw100,mfw100,Delta,-0.8571428571428573,0.011904761904761904,0,0,0.12837168041283467,0.3107142857142857,0,0
Caesar DBG,mfw100,mfw100,Cosine,-0.9285714285714288,0.003373015873015873,0,0,0.46604573454390663,0.018055555555555554,0,0
Caesar DBG,mfw100_lemmas,mfw100_lemmas,Delta,-0.9285714285714288,0.003373015873015873,0,0,0.3759505649400653,0.05317460317460317,0,0
Caesar DBG,mfw100_lemmas,mfw100_lemmas,Cosine,-0.9285714285714288,0.003373015873015873,0,0,0.6276822192327733,0.005555555555555556,0,0
Caesar DBG,mfw200,mfw200,Delta,-0.9642857142857145,0.001388888888888889,0,0,0.2471118305291835,0.15793650793650793,0,0
Caesar DBG,mfw200,mfw200,Cosine,-0.9642857142857145,0.001388888888888889,0,0,0.48253169221173753,0.017063492063492062,0,0
Caesar DBG,mfw200_lemmas,mfw200_lemmas,Delta,-0.7500000000000002,0.033134920634920635,0,0,0.20079508686500605,0.20317460317460317,0,0
Caesar DBG,mfw200_lemmas,mfw200_lemmas,Cosine,-0.9285714285714288,0.003373015873015873,0,0,0.6419001632733639,0.005555555555555556,0,0
Caesar DBG,mfw300,mfw300,Delta,-0.8571428571428573,0.011904761904761904,0,0,0.3074732607030594,0.09444444444444444,0,0
Caesar DBG,mfw300,mfw300,Cosine,-0.9285714285714288,0.003373015873015873,0,0,0.4824244182745153,0.017063492063492062,0,0
Caesar DBG,mfw300_lemmas,mfw300_lemmas,Delta,-0.642857142857143,0.06944444444444445,0,0,0.04790843153399518,0.4517857142857143,0,0
Caesar DBG,mfw300_lemmas,mfw300_lemmas,Cosine,-0.9285714285714288,0.003373015873015873,0,0,0.6310043297553575,0.005158730158730159,0,0
Caesar DBG,char2gram,char2gram,Delta,-0.8571428571428573,0.011904761904761904,0,0,0.4486426628869245,0.021825396825396824,0,0
Caesar DBG,char2gram,char2gram,Cosine,-0.8571428571428573,0.011904761904761904,0,0,0.38053764880226837,0.0761904761904762,0,0
Caesar DBG,char3gram,char3gram,Delta,-0.9285714285714288,0.003373015873015873,0,0,0.2880423365598157,0.14365079365079364,0,0
Caesar DBG,char3gram,char3gram,Cosine,-0.7500000000000002,0.033134920634920635,0,0,0.3315936210589904,0.13095238095238096,0,0
Caesar DBG,char4gram,char4gram,Delta,-0.9285714285714288,0.003373015873015873,0,0,0.15667961816881404,0.289484126984127,0,0
Caesar DBG,char4gram,char4gram,Cosine,-0.8214285714285715,0.017063492063492062,0,0,0.36378444331934534,0.07678571428571429,0,0
