segment_id,work,book,chapter,tokens
dbc_book01_ch014,dbc,1,14,154
dbc_book01_ch015,dbc,1,15,196
dbc_book01_ch016,dbc,1,16,79
dbc_book01_ch017,dbc,1,17,92
dbc_book01_ch018,dbc,1,18,182
dbc_book01_ch019,dbc,1,19,126
dbc_book01_ch020,dbc,1,20,145
dbc_book01_ch021,dbc,1,21,178
dbc_book01_ch022,dbc,1,22,179
dbc_book01_ch023,dbc,1,23,173
dbc_book01_ch024,dbc,1,24,167
dbc_book01_ch025,dbc,1,25,216
dbc_book01_ch026,dbc,1,26,218
dbc_book01_ch027,dbc,1,27,154
dbc_book01_ch028,dbc,1,28,118
dbc_book01_ch029,dbc,1,29,93
dbc_book01_ch030,dbc,1,30,194
dbc_book01_ch031,dbc,1,31,107
dbc_book01_ch032,dbc,1,32,256
dbc_book01_ch033,dbc,1,33,107
dbc_book01_ch034,dbc,1,34,126
dbc_book01_ch035,dbc,1,35,134
dbc_book01_ch036,dbc,1,36,128
dbc_book01_ch037,dbc,1,37,70
dbc_book01_ch038,dbc,1,38,125
dbc_book01_ch039,dbc,1,39,134
dbc_book01_ch040,dbc,1,40,218
dbc_book01_ch041,dbc,1,41,202
dbc_book01_ch042,dbc,1,42,115
dbc_book01_ch043,dbc,1,43,127
dbc_book01_ch044,dbc,1,44,130
dbc_book01_ch045,dbc,1,45,215
dbc_book01_ch046,dbc,1,46,142
dbc_book01_ch047,dbc,1,47,100
dbc_book01_ch048,dbc,1,48,227
dbc_book01_ch049,dbc,1,49,51
dbc_book01_ch050,dbc,1,50,66
dbc_book01_ch051,dbc,1,51,190
