"Caesar_DBC" "Caesar_DBG-01" "Caesar_DBG-02" "Caesar_DBG-03" "Caesar_DBG-04" "Caesar_DBG-05" "Caesar_DBG-06" "Caesar_DBG-07" "Hirtius_DBG-08"
"esse" 0.284864998761457 0.881057268722467 0.67356266538369 0.278784499581823 0.502183406113537 0.542299349240781 0.365764447695684 0.309315866084425 0.524853349799321
"est" 0.377755759227149 0.538423886441508 0.481116189559779 0.529690549205464 0.524017467248908 0.488069414316703 0.713240673006584 0.282023289665211 0.200679221982093
"ac" 0.356081248451821 0.342633382280959 0.577339427471734 0.83635349874547 0.393013100436681 0.379609544468547 0.457205559619605 0.309315866084425 0.293300401358444
"eo" 0.349888531087441 0.57513460597161 0.336781332691845 0.418176749372735 0.262008733624454 0.420281995661605 0.182882223847842 0.354803493449782 0.385921580734795
"his" 0.322021302947733 0.367107195301028 0.577339427471734 0.613325899080011 0.589519650655022 0.338937093275488 0.420629114850037 0.400291120815138 0.0926211793763507
"quam" 0.24461233589299 0.624082232011747 0.384892951647823 0.306662949540006 0.37117903930131 0.311822125813449 0.3474762253109 0.318413391557496 0.524853349799321
"erat" 0.424201139459995 0.269211943220754 0.240558094779889 0.390298299414553 0.37117903930131 0.189804772234273 0.21945866861741 0.27292576419214 0.324174127817228
"aut" 0.294154074808026 0.440528634361233 0.120279047389945 0.195149149707276 0.262008733624454 0.216919739696312 0.731528895391368 0.254730713245997 0.463105896881754
"ne" 0.250805053257369 0.379344101811062 0.240558094779889 0.223027599665459 0.174672489082969 0.230477223427332 0.420629114850037 0.518558951965066 0.43223217042297
"si" 0.23841961852861 0.599608418991679 0.288669713735867 0.195149149707276 0.37117903930131 0.29826464208243 0.420629114850037 0.336608442503639 0.26242667489966
"omnibus" 0.266286846668318 0.17131669114048 0.312725523213856 0.334541399498188 0.414847161572052 0.393167028199566 0.274323335771763 0.391193595342067 0.308737264587836
"sed" 0.408719346049046 0.244738130200685 0.168390666345923 0.167270699749094 0.218340611353712 0.29826464208243 0.329188002926116 0.172852983988355 0.26242667489966
"castris" 0.306539509536785 0.293685756240822 0.408948761125812 0.250906049623641 0.218340611353712 0.162689804772234 0.146305779078274 0.418486171761281 0.185242358752701
"eius" 0.294154074808026 0.416054821341165 0.144334856867934 0.278784499581823 0.131004366812227 0.338937093275488 0.3474762253109 0.218340611353712 0.200679221982093
"omnes" 0.213648749071092 0.183553597650514 0.312725523213856 0.334541399498188 0.240174672489083 0.447396963123644 0.365764447695684 0.34570596797671 0.246989811670269
"castra" 0.275575922714887 0.195790504160548 0.384892951647823 0.278784499581823 0.262008733624454 0.244034707158351 0.237746891002195 0.27292576419214 0.339610991046619
"rebus" 0.315828585583354 0.17131669114048 0.240558094779889 0.278784499581823 0.349344978165939 0.29826464208243 0.292611558156547 0.20924308588064 0.123494905835134
"quibus" 0.306539509536785 0.159079784630445 0.0962232379119557 0.36241984945637 0.524017467248908 0.230477223427332 0.201170446232626 0.163755458515284 0.231552948440877
